STT_NAAM,AUTO,WKT_LAT_LNG,number
Valkenburgerstraat,plus,"52.370152 4.908509,52.370227 4.908594,52.370373 4.908906,52.370624 4.909401,52.37086 4.909825,52.37112 4.910235,52.371438 4.910673,52.371827 4.91112,52.372115 4.911381,52.372314 4.91154,52.372548 4.911699,52.37271 4.9118,52.37307 4.911958,52.37325 4.91203,52.373322 4.912043",215
Valkenburgerstraat,plus,"52.370503 4.909508,52.370549 4.909612,52.370647 4.909784,52.370794 4.909987,52.371192 4.910529,52.371398 4.910797,52.371782 4.911252,52.372089 4.911543,52.372278 4.911702,52.372495 4.911861,52.37272 4.912021,52.372999 4.912164,52.373179 4.912236,52.373386 4.912307",216
Geldersekade,hoofd,"52.376233 4.902819,52.376269 4.902936",217
TORONTOBRUG 0350,plus,"52.358684 4.903803,52.35867 4.904056,52.359117 4.90625,52.359298 4.906762",218
Coentunnelcircuit,plus,"52.4192510 4.8778220,52.4191700 4.8776360,52.4190420 4.8773950",219
Dolingadreef,hoofd,"52.315321 4.952129,52.315244 4.952188",220
Valkenburgerstraat,plus,"52.368852 4.90493,52.368939 4.905163",221
Valkenburgerstraat,plus,"52.37008 4.908177,52.370137 4.908335,52.370152 4.908509",222
Coentunnelcircuit,plus,"52.4193460 4.8774930,52.4191210 4.8771190,52.4185640 4.8764010,52.4178460 4.8755100,52.4173740 4.8749110,52.4171440 4.8746520,52.4168480 4.8744480,52.4165750 4.8743340,52.4164220 4.8743060,52.4162960 4.8742930,52.4161430 4.8742950",223
TORONTOBRUG 0350,plus,"52.358684 4.903803,52.358784 4.903993,52.359068 4.905458,52.359242 4.906161,52.35936 4.906497",224
Dolingadreef,plus,"52.320504 4.947544,52.320387 4.947531,52.318981 4.948806,52.31839 4.949369,52.318148 4.949592,52.317228 4.950396",225
Valkenburgerstraat,plus,"52.3684 4.904043,52.368516 4.904113,52.368591 4.90429,52.368852 4.90493",226
Coentunnelcircuit,plus,"52.4194120 4.8777020,52.4193460 4.8774930",227
Valkenburgerstraat,plus,"52.370503 4.908952,52.370378 4.908724,52.370225 4.908407,52.370145 4.90823,52.37008 4.908177",228
Valkenburgerstraat,plus,"52.3684 4.904043,52.368431 4.904201,52.368551 4.904417,52.368818 4.905035,52.368939 4.905163",229
Valkenburgerstraat,plus,"52.368939 4.905163,52.368972 4.905342,52.369056 4.905549,52.369996 4.908038",230
Dolingadreef,hoofd,"52.317149 4.950461,52.316258 4.951282,52.315321 4.952129",231
Valkenburgerstraat,plus,"52.369996 4.908038,52.370057 4.908115,52.37008 4.908177",232
Coentunnelcircuit,plus,"52.4190420 4.8773950,52.4185900 4.8767800,52.4175770 4.8754690,52.4173510 4.8751920,52.4172250 4.8750460,52.4170990 4.8749160,52.4169810 4.8748140,52.4168820 4.8747420,52.4167830 4.8746840,52.4165130 4.8745840,52.4163960 4.8745710,52.4162700 4.8745720,52.4161630 4.8745880",233
Nassauplein,plus,"52.38497 4.881544,52.385063 4.88161",234
Hobbemakade,plus,"52.354612 4.886395,52.354289 4.886428,52.354028 4.886416",235
Hobbemakade,plus,"52.351429 4.886005,52.351995 4.886028,52.352165 4.886065",236
Holterbergweg,plus,"52.310465 4.937922,52.310384 4.937996",237
Holterbergweg,plus,"52.310547 4.938126,52.310457 4.938215",238
